time,px,py,pz,vx,vy,vz,qw,qx,qy,qz,drag_x,drag_y,drag_z,density,pressure,temperature,latitude,longitude,altitude
31.0,7396611.346252742,141803.3339968964,170773.8532032947,-222.2502752326286,4647.868769971858,5597.427714086604,1.0,2.705505225227631e-24,7.600193365030952e-09,-5.275169197364388e-09,1.97691054813765e-08,-1.234529705594188e-06,-3.214721431237835e-06,4.402681456972979e-15,8.875274906413826e-09,1114.501068278598,1.3223739708589588,0.968784991254983,1028941.3039554125
31.0,7396611.346252742,141803.3339968964,170773.8532032947,-222.2502752326286,4647.868769971858,5597.427714086604,1.0,2.705505225227631e-24,7.600193365030952e-09,-5.275169197364388e-09,1.97691054813765e-08,-1.234529705594188e-06,-3.214721431237835e-06,4.402681456972979e-15,8.875274906413826e-09,1114.501068278598,1.3223739708589588,0.968784991254983,1028941.3039554125
65.0,7384609.294458209,302040.2965994083,363746.8816793329,-473.4031352966286,4640.324537095761,5588.320803406535,0.9999999999999958,1.38090255870143e-21,7.58847157337737e-08,-5.267038920748125e-08,4.527663203966957e-08,-1.266397600063892e-06,-3.26836603861707e-06,4.440422023658182e-15,8.940741936503228e-09,1117.917568366237,2.817611652567454,2.0705929087549517,1028729.3576522013
91.0,7369843.816046882,422574.7749020086,508905.6543442422,-662.3427046917315,4631.04378935657,5577.117372487045,0.9999999999999674,2.131866891765071e-20,2.101402094243024e-07,-1.458552183254037e-07,6.700425134732914e-08,-1.289402824859635e-06,-3.305594053790936e-06,4.47070368081082e-15,8.992395992714407e-09,1120.462371929025,3.9436855995647493,2.9014482083799074,1028469.7295368062
120.0,7348020.440539069,554372.7840443802,667628.0720058619,-868.9611138449326,4617.326455327052,5560.558055531788,0.99999999999983,1.939942719390772e-19,4.789772325204343e-07,-3.324517136063583e-07,9.350433905745888e-08,-1.313591569209909e-06,-3.343097936146213e-06,4.50595917838057e-15,9.051646668483602e-09,1123.229079880447,5.176905982070501,3.813148299746166,1028085.1340418672
149.0,7320319.334925479,685727.2941753084,825815.1039845399,-1074.915712994157,4599.91334535846,5539.537148636902,0.9999999999993808,1.09272848796914e-18,9.141324588327893e-07,-6.344888316072206e-07,1.223831760249485e-07,-1.336154380316104e-06,-3.376227389706669e-06,4.542800352476619e-15,9.112629045943919e-09,1125.91771659372,6.408581162075174,4.729004127235828,1027599.0344949635
179.0,7283536.39468254,827977.4155791656,997121.6280826468,-1297.998345328785,4576.788729602144,5511.621308361544,0.9999999999980468,5.06933984586535e-18,1.623671127852718e-06,-1.126975441499063e-06,1.547452344351456e-07,-1.357702801727217e-06,-3.405751231876823e-06,4.58260673576191e-15,9.177538938550701e-09,1128.614182898334,7.746098612767576,5.737550196291002,1026952.4569007922
214.0,7234493.083332842,985360.2074638773,1186649.145978124,-1544.878493126861,4545.951316029013,5474.394633261913,0.9999999999943375,2.096271015315461e-17,2.764569753693754e-06,-1.918871918193685e-06,1.956693089233143e-07,-1.380428718478642e-06,-3.43390186688327e-06,4.631259401406262e-15,9.255609388902955e-09,1131.647162328318,9.231336128240821,6.862026422375033,1026091.3950616159
250.0,7174267.589661738,1148350.075109633,1382925.319958083,-1800.641805863417,4508.074691259704,5428.670356631007,0.9999999999854955,7.337239205738852e-17,4.424628918187343e-06,-3.071127255859954e-06,2.412780618505504e-07,-1.400961442766853e-06,-3.455565268854322e-06,4.683824289618772e-15,9.338529958205762e-09,1134.635313460862,10.776711328290657,8.049396863154882,1025033.1113142204
287.0,7102813.80244695,1314335.700152038,1582804.513256439,-2061.214409447712,4463.124630625976,5374.407287955256,0.9999999999665965,2.225381591677971e-16,6.714592268177173e-06,-4.660618992588348e-06,2.918062839962131e-07,-1.418916805646373e-06,-3.469890282568917e-06,4.740551916393838e-15,9.42649791516335e-09,1137.562225999123,12.359423738224901,9.284568870135711,1023776.0190630527
323.0,7022928.343778908,1476340.326360714,1777884.613329695,-2315.660152513168,4412.855025992106,5313.722845480252,0.9999999999311883,5.809610703722283e-16,9.63726769163906e-06,-6.689308436170588e-06,3.444480559103699e-07,-1.43318700126188e-06,-3.475887809351497e-06,4.798407474798737e-15,9.514723127571227e-09,1140.264442997072,13.914281810546006,10.522179597151494,1022373.8563261153
